"AOA","CD"
"-180.000000","0.006000"
"-179.000000","0.006528"
"-178.000000","0.008112"
"-177.000000","0.010750"
"-176.000000","0.014439"
"-175.000000","0.019174"
"-174.000000","0.024949"
"-173.000000","0.031758"
"-172.000000","0.039592"
"-171.000000","0.048441"
"-170.000000","0.058296"
"-169.000000","0.069143"
"-168.000000","0.080969"
"-167.000000","0.093761"
"-166.000000","0.107502"
"-165.000000","0.122176"
"-164.000000","0.137765"
"-163.000000","0.154250"
"-162.000000","0.171611"
"-161.000000","0.189827"
"-160.000000","0.208875"
"-159.000000","0.228732"
"-158.000000","0.249375"
"-157.000000","0.270777"
"-156.000000","0.292913"
"-155.000000","0.315757"
"-154.000000","0.339279"
"-153.000000","0.363452"
"-152.000000","0.388246"
"-151.000000","0.413630"
"-150.000000","0.439575"
"-149.000000","0.466047"
"-148.000000","0.493016"
"-147.000000","0.520448"
"-146.000000","0.548310"
"-145.000000","0.576567"
"-144.000000","0.605185"
"-143.000000","0.634130"
"-142.000000","0.663367"
"-141.000000","0.692859"
"-140.000000","0.722570"
"-139.000000","0.752465"
"-138.000000","0.782507"
"-137.000000","0.812660"
"-136.000000","0.842886"
"-135.000000","0.873149"
"-134.000000","0.903412"
"-133.000000","0.933638"
"-132.000000","0.963790"
"-131.000000","0.993832"
"-130.000000","1.023727"
"-129.000000","1.053438"
"-128.000000","1.082930"
"-127.000000","1.112166"
"-126.000000","1.141111"
"-125.000000","1.169729"
"-124.000000","1.197986"
"-123.000000","1.225848"
"-122.000000","1.253279"
"-121.000000","1.280248"
"-120.000000","1.306720"
"-119.000000","1.332664"
"-118.000000","1.358048"
"-117.000000","1.382842"
"-116.000000","1.407014"
"-115.000000","1.430536"
"-114.000000","1.453379"
"-113.000000","1.475515"
"-112.000000","1.496917"
"-111.000000","1.517559"
"-110.000000","1.537416"
"-109.000000","1.556463"
"-108.000000","1.574678"
"-107.000000","1.592038"
"-106.000000","1.608522"
"-105.000000","1.624111"
"-104.000000","1.638784"
"-103.000000","1.652524"
"-102.000000","1.665315"
"-101.000000","1.677141"
"-100.000000","1.687987"
"-99.000000","1.697840"
"-98.000000","1.706688"
"-97.000000","1.714521"
"-96.000000","1.721329"
"-95.000000","1.727103"
"-94.000000","1.731837"
"-93.000000","1.735524"
"-92.000000","1.738161"
"-91.000000","1.739743"
"-90.000000","1.740270"
"-89.000000","1.739740"
"-88.000000","1.738154"
"-87.000000","1.735515"
"-86.000000","1.731824"
"-85.000000","1.727087"
"-84.000000","1.721310"
"-83.000000","1.714499"
"-82.000000","1.706663"
"-81.000000","1.697811"
"-80.000000","1.687954"
"-79.000000","1.677105"
"-78.000000","1.665276"
"-77.000000","1.652481"
"-76.000000","1.638737"
"-75.000000","1.624060"
"-74.000000","1.608467"
"-73.000000","1.591979"
"-72.000000","1.574614"
"-71.000000","1.556395"
"-70.000000","1.537343"
"-69.000000","1.517481"
"-68.000000","1.496834"
"-67.000000","1.475427"
"-66.000000","1.453285"
"-65.000000","1.430436"
"-64.000000","1.406908"
"-63.000000","1.382729"
"-62.000000","1.357929"
"-61.000000","1.332538"
"-60.000000","1.306586"
"-59.000000","1.280105"
"-58.000000","1.253128"
"-57.000000","1.225688"
"-56.000000","1.197817"
"-55.000000","1.169550"
"-54.000000","1.140920"
"-53.000000","1.111964"
"-52.000000","1.082715"
"-51.000000","1.053210"
"-50.000000","1.023484"
"-49.000000","0.993574"
"-48.000000","0.963515"
"-47.000000","0.933345"
"-46.000000","0.903099"
"-45.000000","0.872815"
"-44.000000","0.842529"
"-43.000000","0.812278"
"-42.000000","0.782099"
"-41.000000","0.752027"
"-40.000000","0.722099"
"-39.000000","0.692352"
"-38.000000","0.662820"
"-37.000000","0.633540"
"-36.000000","0.604546"
"-35.000000","0.575873"
"-34.000000","0.547554"
"-33.000000","0.519624"
"-32.000000","0.492115"
"-31.000000","0.465058"
"-30.000000","0.438485"
"-29.000000","0.412426"
"-28.000000","0.386909"
"-27.000000","0.361961"
"-26.000000","0.337609"
"-25.000000","0.313874"
"-24.000000","0.290780"
"-23.000000","0.268342"
"-22.000000","0.246574"
"-21.000000","0.225485"
"-20.299999","0.239710"
"-18.700001","0.219170"
"-8.000000","0.010840"
"-6.900000","0.008620"
