"AOA","CL"
"-180.000000","0.000027"
"-179.000000","0.090826"
"-178.000000","0.181625"
"-177.000000","0.272424"
"-176.000000","0.363223"
"-175.000000","0.454022"
"-174.000000","0.544821"
"-173.000000","0.635620"
"-172.000000","0.725415"
"-171.000000","0.802534"
"-170.000000","0.837638"
"-169.000000","0.808179"
"-168.000000","0.735215"
"-167.000000","0.662448"
"-166.000000","0.612765"
"-165.000000","0.586896"
"-164.000000","0.578379"
"-163.000000","0.581079"
"-162.000000","0.590700"
"-161.000000","0.604488"
"-160.000000","0.620710"
"-159.000000","0.638262"
"-158.000000","0.656428"
"-157.000000","0.674731"
"-156.000000","0.692843"
"-155.000000","0.710535"
"-154.000000","0.727638"
"-153.000000","0.744028"
"-152.000000","0.759609"
"-151.000000","0.774309"
"-150.000000","0.788067"
"-149.000000","0.800835"
"-148.000000","0.812576"
"-147.000000","0.823256"
"-146.000000","0.832850"
"-145.000000","0.841335"
"-144.000000","0.848693"
"-143.000000","0.854909"
"-142.000000","0.859971"
"-141.000000","0.863872"
"-140.000000","0.866604"
"-139.000000","0.868163"
"-138.000000","0.868548"
"-137.000000","0.867760"
"-136.000000","0.865799"
"-135.000000","0.862672"
"-134.000000","0.858384"
"-133.000000","0.852943"
"-132.000000","0.846359"
"-131.000000","0.838644"
"-130.000000","0.829811"
"-129.000000","0.819875"
"-128.000000","0.808851"
"-127.000000","0.796759"
"-126.000000","0.783617"
"-125.000000","0.769446"
"-124.000000","0.754269"
"-123.000000","0.738108"
"-122.000000","0.720989"
"-121.000000","0.702938"
"-120.000000","0.683982"
"-119.000000","0.664148"
"-118.000000","0.643467"
"-117.000000","0.621968"
"-116.000000","0.599683"
"-115.000000","0.576644"
"-114.000000","0.552885"
"-113.000000","0.528438"
"-112.000000","0.503338"
"-111.000000","0.477621"
"-110.000000","0.451321"
"-109.000000","0.424477"
"-108.000000","0.397123"
"-107.000000","0.369298"
"-106.000000","0.341040"
"-105.000000","0.312385"
"-104.000000","0.283373"
"-103.000000","0.253722"
"-102.000000","0.224114"
"-101.000000","0.194263"
"-100.000000","0.164208"
"-99.000000","0.133988"
"-98.000000","0.103642"
"-97.000000","0.073208"
"-96.000000","0.042725"
"-95.000000","0.012230"
"-94.000000","-0.018237"
"-93.000000","-0.048641"
"-92.000000","-0.078942"
"-91.000000","-0.109105"
"-90.000000","-0.139093"
"-89.000000","-0.168871"
"-88.000000","-0.198402"
"-87.000000","-0.227652"
"-86.000000","-0.256586"
"-85.000000","-0.285172"
"-84.000000","-0.313375"
"-83.000000","-0.341165"
"-82.000000","-0.368509"
"-81.000000","-0.395376"
"-80.000000","-0.421738"
"-79.000000","-0.447564"
"-78.000000","-0.472826"
"-77.000000","-0.497498"
"-76.000000","-0.521553"
"-75.000000","-0.544964"
"-74.000000","-0.567708"
"-73.000000","-0.589761"
"-72.000000","-0.611100"
"-71.000000","-0.631704"
"-70.000000","-0.651552"
"-69.000000","-0.670625"
"-68.000000","-0.688903"
"-67.000000","-0.706369"
"-66.000000","-0.723007"
"-65.000000","-0.738802"
"-64.000000","-0.753738"
"-63.000000","-0.767803"
"-62.000000","-0.780985"
"-61.000000","-0.793272"
"-60.000000","-0.804654"
"-59.000000","-0.815123"
"-58.000000","-0.824670"
"-57.000000","-0.833288"
"-56.000000","-0.840972"
"-55.000000","-0.847718"
"-54.000000","-0.853521"
"-53.000000","-0.858380"
"-52.000000","-0.862292"
"-51.000000","-0.865258"
"-50.000000","-0.867279"
"-49.000000","-0.868355"
"-48.000000","-0.868491"
"-47.000000","-0.867690"
"-46.000000","-0.865957"
"-45.000000","-0.863299"
"-44.000000","-0.859724"
"-43.000000","-0.855239"
"-42.000000","-0.849854"
"-41.000000","-0.843581"
"-40.000000","-0.836432"
"-39.000000","-0.828421"
"-38.000000","-0.819563"
"-37.000000","-0.809874"
"-36.000000","-0.799373"
"-35.000000","-0.788082"
"-34.000000","-0.776022"
"-33.000000","-0.763220"
"-32.000000","-0.749705"
"-31.000000","-0.735508"
"-30.000000","-0.720670"
"-29.000000","-0.705232"
"-28.000000","-0.689247"
"-27.000000","-0.672779"
"-26.000000","-0.655903"
"-25.000000","-0.638714"
"-24.000000","-0.621336"
"-23.000000","-0.603927"
"-22.000000","-0.586699"
"-21.000000","-0.569940"
"-20.299999","-0.886100"
"-18.700001","-0.843400"
"-8.000000","-0.883300"
"-6.900000","-0.783300"
"-6.700000","-0.759200"
"-6.500000","-0.733700"
"-6.400000","-0.721000"
"-6.300000","-0.708500"
"-6.200000","-0.696000"
"-6.100000","-0.683200"
"-6.000000","-0.670300"
"-5.900000","-0.657400"
"-5.800000","-0.644400"
"-5.700000","-0.631400"
"-5.600000","-0.618500"
"-5.500000","-0.605900"
"-5.400000","-0.593700"
"-5.300000","-0.581900"
"-5.200000","-0.570000"
"-5.100000","-0.557600"
"-5.000000","-0.545200"
"-4.900000","-0.532800"
"-4.800000","-0.521700"
"-4.700000","-0.510400"
"-4.600000","-0.499100"
"-4.500000","-0.488300"
"-4.400000","-0.477500"
"-4.300000","-0.467000"
"-4.200000","-0.456500"
"-4.100000","-0.445900"
"-4.000000","-0.435600"
"-3.900000","-0.424900"
"-3.800000","-0.414100"
"-3.700000","-0.403500"
"-3.600000","-0.393100"
"-3.500000","-0.382000"
"-3.400000","-0.371200"
"-3.300000","-0.360800"
"-3.200000","-0.349800"
"-3.100000","-0.339100"
"-3.000000","-0.328600"
"-2.900000","-0.317700"
"-2.800000","-0.307000"
"-2.700000","-0.296200"
"-2.600000","-0.285500"
"-2.500000","-0.274800"
"-2.400000","-0.263700"
"-2.300000","-0.252800"
"-2.200000","-0.242000"
"-2.100000","-0.230900"
"-2.000000","-0.219900"
"-1.900000","-0.209000"
"-1.800000","-0.197900"
"-1.700000","-0.187100"
"-1.600000","-0.176000"
"-1.500000","-0.165000"
"-1.400000","-0.154100"
"-1.300000","-0.142900"
"-1.200000","-0.131800"
"-1.100000","-0.121100"
"-1.000000","-0.110000"
"-0.900000","-0.099200"
"-0.800000","-0.088400"
"-0.700000","-0.077200"
"-0.600000","-0.066000"
"-0.500000","-0.055400"
"-0.400000","-0.044100"
"-0.300000","-0.033200"
"-0.200000","-0.022300"
"-0.100000","-0.011000"
"0.000000","-0.000100"
"0.100000","0.010900"
"0.200000","0.022200"
"0.300000","0.033300"
"0.400000","0.044100"
"0.500000","0.055300"
"0.600000","0.066000"
"0.700000","0.077200"
"0.800000","0.088400"
"0.900000","0.099200"
"1.000000","0.110300"
"1.100000","0.121100"
"1.200000","0.132000"
"1.300000","0.143000"
"1.400000","0.154200"
"1.500000","0.165000"
"1.600000","0.176000"
"1.700000","0.187100"
"1.800000","0.197900"
"1.900000","0.209000"
"2.000000","0.220000"
"2.100000","0.230800"
"2.200000","0.241900"
"2.300000","0.252800"
"2.400000","0.263800"
"2.500000","0.274800"
"2.600000","0.285700"
"2.700000","0.296200"
"2.800000","0.307000"
"2.900000","0.317700"
"3.000000","0.328600"
"3.100000","0.339100"
"3.200000","0.349800"
"3.300000","0.360700"
"3.400000","0.371200"
"3.500000","0.382000"
"3.600000","0.393000"
"3.700000","0.403500"
"3.800000","0.414100"
"3.900000","0.424900"
"4.000000","0.435400"
"4.100000","0.445900"
"4.200000","0.456500"
"4.300000","0.467000"
"4.400000","0.477600"
"4.500000","0.488300"
"4.600000","0.499200"
"4.700000","0.510400"
"4.800000","0.521700"
"4.900000","0.532800"
"5.000000","0.545200"
"5.100000","0.557700"
"5.200000","0.570000"
"5.300000","0.582000"
"5.400000","0.593700"
"5.500000","0.606000"
"5.600000","0.618600"
"5.700000","0.631400"
"5.800000","0.644400"
"6.000000","0.670400"
"6.100000","0.683200"
"6.200000","0.696000"
"6.300000","0.708500"
"6.400000","0.721000"
"6.500000","0.733800"
"7.900000","0.875800"
"8.000000","0.880196"
"9.000000","0.980538"
"10.000000","1.076632"
"11.000000","1.167714"
"12.000000","1.253031"
"13.000000","1.331876"
"14.000000","1.403625"
"15.000000","1.467772"
"16.000000","1.523961"
"17.000000","1.572002"
