"AOA","CD"
"-180.000000","0.006000"
"-179.000000","0.006528"
"-178.000000","0.008112"
"-177.000000","0.010750"
"-176.000000","0.014439"
"-175.000000","0.019174"
"-174.000000","0.024949"
"-173.000000","0.031758"
"-172.000000","0.039592"
"-171.000000","0.048441"
"-170.000000","0.058296"
"-169.000000","0.069143"
"-168.000000","0.080969"
"-167.000000","0.093761"
"-166.000000","0.107502"
"-165.000000","0.122176"
"-164.000000","0.137765"
"-163.000000","0.154250"
"-162.000000","0.171611"
"-161.000000","0.189827"
"-160.000000","0.208875"
"-159.000000","0.228732"
"-158.000000","0.249375"
"-157.000000","0.270777"
"-156.000000","0.292913"
"-155.000000","0.315757"
"-154.000000","0.339279"
"-153.000000","0.363452"
"-152.000000","0.388246"
"-151.000000","0.413630"
"-150.000000","0.439575"
"-149.000000","0.466048"
"-148.000000","0.493016"
"-147.000000","0.520448"
"-146.000000","0.548310"
"-145.000000","0.576567"
"-144.000000","0.605185"
"-143.000000","0.634130"
"-142.000000","0.663367"
"-141.000000","0.692859"
"-140.000000","0.722570"
"-139.000000","0.752465"
"-138.000000","0.782507"
"-137.000000","0.812660"
"-136.000000","0.842886"
"-135.000000","0.873149"
"-134.000000","0.903412"
"-133.000000","0.933638"
"-132.000000","0.963790"
"-131.000000","0.993832"
"-130.000000","1.023727"
"-129.000000","1.053438"
"-128.000000","1.082930"
"-127.000000","1.112166"
"-126.000000","1.141111"
"-125.000000","1.169729"
"-124.000000","1.197986"
"-123.000000","1.225848"
"-122.000000","1.253279"
"-121.000000","1.280248"
"-120.000000","1.306720"
"-119.000000","1.332664"
"-118.000000","1.358048"
"-117.000000","1.382842"
"-116.000000","1.407014"
"-115.000000","1.430536"
"-114.000000","1.453379"
"-113.000000","1.475515"
"-112.000000","1.496917"
"-111.000000","1.517559"
"-110.000000","1.537416"
"-109.000000","1.556463"
"-108.000000","1.574678"
"-107.000000","1.592038"
"-106.000000","1.608523"
"-105.000000","1.624111"
"-104.000000","1.638784"
"-103.000000","1.652524"
"-102.000000","1.665315"
"-101.000000","1.677141"
"-100.000000","1.687987"
"-99.000000","1.697840"
"-98.000000","1.706689"
"-97.000000","1.714521"
"-96.000000","1.721329"
"-95.000000","1.727103"
"-94.000000","1.731837"
"-93.000000","1.735524"
"-92.000000","1.738161"
"-91.000000","1.739743"
"-90.000000","1.740270"
"-89.000000","1.739740"
"-88.000000","1.738155"
"-87.000000","1.735515"
"-86.000000","1.731824"
"-85.000000","1.727087"
"-84.000000","1.721310"
"-83.000000","1.714499"
"-82.000000","1.706663"
"-81.000000","1.697811"
"-80.000000","1.687955"
"-79.000000","1.677105"
"-78.000000","1.665276"
"-77.000000","1.652481"
"-76.000000","1.638737"
"-75.000000","1.624060"
"-74.000000","1.608468"
"-73.000000","1.591979"
"-72.000000","1.574615"
"-71.000000","1.556395"
"-70.000000","1.537343"
"-69.000000","1.517481"
"-68.000000","1.496834"
"-67.000000","1.475427"
"-66.000000","1.453286"
"-65.000000","1.430437"
"-64.000000","1.406909"
"-63.000000","1.382730"
"-62.000000","1.357930"
"-61.000000","1.332538"
"-60.000000","1.306587"
"-59.000000","1.280106"
"-58.000000","1.253129"
"-57.000000","1.225689"
"-56.000000","1.197818"
"-55.000000","1.169551"
"-54.000000","1.140921"
"-53.000000","1.111965"
"-52.000000","1.082716"
"-51.000000","1.053211"
"-50.000000","1.023485"
"-49.000000","0.993575"
"-48.000000","0.963517"
"-47.000000","0.933346"
"-46.000000","0.903101"
"-45.000000","0.872817"
"-44.000000","0.842531"
"-43.000000","0.812280"
"-42.000000","0.782101"
"-41.000000","0.752029"
"-40.000000","0.722102"
"-39.000000","0.692355"
"-38.000000","0.662823"
"-37.000000","0.633543"
"-36.000000","0.604550"
"-35.000000","0.575877"
"-34.000000","0.547559"
"-33.000000","0.519629"
"-32.000000","0.492120"
"-31.000000","0.465064"
"-30.000000","0.438492"
"-29.000000","0.412434"
"-28.000000","0.386918"
"-27.000000","0.361971"
"-26.000000","0.337620"
"-25.000000","0.313888"
"-24.000000","0.290795"
"-23.000000","0.268359"
"-22.000000","0.246595"
"-21.000000","0.225510"
"-20.000000","0.205104"
"-19.000000","0.185368"
"-18.000000","0.166279"
"-17.000000","0.147792"
