"AOA","CL"
"-180.000000","-0.000000"
"-179.000000","0.091078"
"-178.000000","0.182157"
"-177.000000","0.273235"
"-176.000000","0.364313"
"-175.000000","0.455391"
"-174.000000","0.546470"
"-173.000000","0.637484"
"-172.000000","0.724714"
"-171.000000","0.789970"
"-170.000000","0.804316"
"-169.000000","0.760430"
"-168.000000","0.690324"
"-167.000000","0.629815"
"-166.000000","0.591859"
"-165.000000","0.574134"
"-164.000000","0.570670"
"-163.000000","0.576399"
"-162.000000","0.587834"
"-161.000000","0.602721"
"-160.000000","0.619618"
"-159.000000","0.637592"
"-158.000000","0.656024"
"-157.000000","0.674497"
"-156.000000","0.692718"
"-155.000000","0.710478"
"-154.000000","0.727625"
"-153.000000","0.744041"
"-152.000000","0.759638"
"-151.000000","0.774345"
"-150.000000","0.788106"
"-149.000000","0.800874"
"-148.000000","0.812612"
"-147.000000","0.823289"
"-146.000000","0.832878"
"-145.000000","0.841357"
"-144.000000","0.848709"
"-143.000000","0.854920"
"-142.000000","0.859977"
"-141.000000","0.863872"
"-140.000000","0.866599"
"-139.000000","0.868154"
"-138.000000","0.868535"
"-137.000000","0.867742"
"-136.000000","0.865777"
"-135.000000","0.862647"
"-134.000000","0.858355"
"-133.000000","0.852911"
"-132.000000","0.846325"
"-131.000000","0.838607"
"-130.000000","0.829772"
"-129.000000","0.819833"
"-128.000000","0.808808"
"-127.000000","0.796715"
"-126.000000","0.783572"
"-125.000000","0.769400"
"-124.000000","0.754222"
"-123.000000","0.738061"
"-122.000000","0.720942"
"-121.000000","0.702891"
"-120.000000","0.683935"
"-119.000000","0.664102"
"-118.000000","0.643422"
"-117.000000","0.621924"
"-116.000000","0.599640"
"-115.000000","0.576603"
"-114.000000","0.552844"
"-113.000000","0.528399"
"-112.000000","0.503301"
"-111.000000","0.477586"
"-110.000000","0.451289"
"-109.000000","0.424446"
"-108.000000","0.397095"
"-107.000000","0.369273"
"-106.000000","0.341017"
"-105.000000","0.312365"
"-104.000000","0.283356"
"-103.000000","0.253693"
"-102.000000","0.224088"
"-101.000000","0.194241"
"-100.000000","0.164190"
"-99.000000","0.133974"
"-98.000000","0.103631"
"-97.000000","0.073201"
"-96.000000","0.042722"
"-95.000000","0.012231"
"-94.000000","-0.018233"
"-93.000000","-0.048632"
"-92.000000","-0.078930"
