"AOA","CL"
"-180.000000","-0.062332"
"-179.000000","0.027211"
"-178.000000","0.116753"
"-177.000000","0.206295"
"-176.000000","0.295838"
"-175.000000","0.385380"
"-174.000000","0.474922"
"-173.000000","0.563791"
"-172.000000","0.642914"
"-171.000000","0.687141"
"-170.000000","0.673022"
"-169.000000","0.613350"
"-168.000000","0.546848"
"-167.000000","0.498017"
"-166.000000","0.470338"
"-165.000000","0.458904"
"-164.000000","0.458231"
"-163.000000","0.464274"
"-162.000000","0.474371"
"-161.000000","0.486827"
"-160.000000","0.500558"
"-159.000000","0.514859"
"-158.000000","0.529266"
"-157.000000","0.543464"
"-156.000000","0.557235"
"-155.000000","0.570425"
"-154.000000","0.582926"
"-153.000000","0.594656"
"-152.000000","0.605559"
"-151.000000","0.615590"
"-150.000000","0.624720"
"-149.000000","0.632926"
"-148.000000","0.640192"
"-147.000000","0.646509"
"-146.000000","0.651870"
"-145.000000","0.656274"
"-144.000000","0.659723"
"-143.000000","0.662220"
"-142.000000","0.663771"
"-141.000000","0.664386"
"-140.000000","0.664073"
"-139.000000","0.662845"
"-138.000000","0.660715"
"-137.000000","0.657699"
"-136.000000","0.653810"
"-135.000000","0.649068"
"-134.000000","0.643488"
"-133.000000","0.637091"
"-132.000000","0.629896"
"-131.000000","0.621924"
"-130.000000","0.613195"
"-129.000000","0.603731"
"-128.000000","0.593554"
"-127.000000","0.582688"
"-126.000000","0.571154"
"-125.000000","0.558976"
"-124.000000","0.546179"
"-123.000000","0.532785"
"-122.000000","0.518819"
"-121.000000","0.504306"
"-120.000000","0.489268"
"-119.000000","0.473731"
"-118.000000","0.457719"
"-117.000000","0.441256"
"-116.000000","0.424367"
"-115.000000","0.407075"
"-114.000000","0.389404"
"-113.000000","0.371378"
"-112.000000","0.353021"
"-111.000000","0.334356"
"-110.000000","0.315406"
"-109.000000","0.296194"
"-108.000000","0.276742"
"-107.000000","0.257074"
"-106.000000","0.237210"
"-105.000000","0.217173"
"-104.000000","0.196666"
"-103.000000","0.176350"
"-102.000000","0.155924"
"-101.000000","0.135408"
"-100.000000","0.114821"
"-99.000000","0.094185"
"-98.000000","0.073518"
"-97.000000","0.052840"
"-96.000000","0.032169"
"-95.000000","0.011524"
"-94.000000","-0.009077"
"-93.000000","-0.029615"
"-92.000000","-0.050074"
"-91.000000","-0.070435"
"-90.000000","-0.090681"
"-89.000000","-0.110796"
"-88.000000","-0.130763"
"-87.000000","-0.150565"
"-86.000000","-0.170187"
"-85.000000","-0.189612"
"-84.000000","-0.208824"
"-83.000000","-0.227808"
"-82.000000","-0.246549"
"-81.000000","-0.265031"
"-80.000000","-0.283240"
"-79.000000","-0.301159"
"-78.000000","-0.318776"
"-77.000000","-0.336074"
"-76.000000","-0.353040"
"-75.000000","-0.369659"
"-74.000000","-0.385917"
"-73.000000","-0.401800"
"-72.000000","-0.417295"
"-71.000000","-0.432386"
"-70.000000","-0.447062"
"-69.000000","-0.461307"
"-68.000000","-0.475109"
"-67.000000","-0.488455"
"-66.000000","-0.501332"
"-65.000000","-0.513726"
"-64.000000","-0.525625"
"-63.000000","-0.537016"
"-62.000000","-0.547887"
"-61.000000","-0.558226"
"-60.000000","-0.568020"
"-59.000000","-0.577258"
"-58.000000","-0.585929"
"-57.000000","-0.594021"
"-56.000000","-0.601523"
"-55.000000","-0.608425"
"-54.000000","-0.614716"
"-53.000000","-0.620386"
"-52.000000","-0.625427"
"-51.000000","-0.629828"
"-50.000000","-0.633581"
"-49.000000","-0.636678"
"-48.000000","-0.639112"
"-47.000000","-0.640875"
"-46.000000","-0.641961"
"-45.000000","-0.642364"
"-44.000000","-0.642080"
"-43.000000","-0.641104"
"-42.000000","-0.639434"
"-41.000000","-0.637067"
"-40.000000","-0.634003"
"-39.000000","-0.630243"
"-38.000000","-0.625788"
"-37.000000","-0.620644"
"-36.000000","-0.614817"
"-35.000000","-0.608316"
