AoA,CL
-180.0,0.0
-179.0,0.031505
-178.0,0.062971
-177.0,0.094361
-176.0,0.125635
-175.0,0.156757
-174.0,0.187687
-173.0,0.218389
-172.0,0.248825
-171.0,0.278958
-170.0,0.30875
-169.0,0.338167
-168.0,0.367172
-167.0,0.395729
-166.0,0.423804
-165.0,0.451363
-164.0,0.478372
-163.0,0.504798
-162.0,0.530609
-161.0,0.555774
-160.0,0.580261
-159.0,0.604042
-158.0,0.627086
-157.0,0.649367
-156.0,0.670856
-155.0,0.691528
-154.0,0.711358
-153.0,0.730321
-152.0,0.748394
-151.0,0.765555
-150.0,0.781784
-149.0,0.79706
-148.0,0.811365
-147.0,0.824681
-146.0,0.836993
-145.0,0.848285
-144.0,0.858543
-143.0,0.867756
-142.0,0.875911
-141.0,0.882999
-140.0,0.889011
-139.0,0.893941
-138.0,0.897781
-137.0,0.900527
-136.0,0.902176
-135.0,0.902726
-134.0,0.902176
-133.0,0.900527
-132.0,0.897781
-131.0,0.893941
-130.0,0.889011
-129.0,0.882999
-128.0,0.875911
-127.0,0.867756
-126.0,0.858543
-125.0,0.848285
-124.0,0.836993
-123.0,0.824681
-122.0,0.811365
-121.0,0.79706
-120.0,0.781784
-119.0,0.765555
-118.0,0.748394
-117.0,0.730321
-116.0,0.711358
-115.0,0.691528
-114.0,0.670856
-113.0,0.649367
-112.0,0.627086
-111.0,0.604042
-110.0,0.580261
-109.0,0.555774
-108.0,0.530609
-107.0,0.504798
-106.0,0.478372
-105.0,0.451363
-104.0,0.423804
-103.0,0.395729
-102.0,0.367172
-101.0,0.338167
-100.0,0.30875
-99.0,0.278958
-98.0,0.248825
-97.0,0.218389
-96.0,0.187687
-95.0,0.156757
-94.0,0.125635
-93.0,0.094361
-92.0,0.062971
-91.0,0.031505
-90.0,0.0
-89.0,-0.031432
-88.0,-0.062869
-87.0,-0.094274
-86.0,-0.125608
-85.0,-0.156834
-84.0,-0.187914
-83.0,-0.21881
-82.0,-0.249486
-81.0,-0.279905
-80.0,-0.31003
-79.0,-0.339825
-78.0,-0.369255
-77.0,-0.398285
-76.0,-0.426881
-75.0,-0.455009
-74.0,-0.482636
-73.0,-0.50973
-72.0,-0.536259
-71.0,-0.562192
-70.0,-0.5875
-69.0,-0.612154
-68.0,-0.636124
-67.0,-0.659385
-66.0,-0.68191
-65.0,-0.703674
-64.0,-0.724653
-63.0,-0.744823
-62.0,-0.764163
-61.0,-0.782653
-60.0,-0.800273
-59.0,-0.817005
-58.0,-0.832832
-57.0,-0.847737
-56.0,-0.861708
-55.0,-0.874732
-54.0,-0.886796
-53.0,-0.897891
-52.0,-0.908008
-51.0,-0.917141
-50.0,-0.925284
-49.0,-0.932433
-48.0,-0.938586
-47.0,-0.943743
-46.0,-0.947904
-45.0,-0.951073
-44.0,-0.953254
-43.0,-0.954455
-42.0,-0.954683
-41.0,-0.953949
-40.0,-0.952266
-39.0,-0.94965
-38.0,-0.946116
-37.0,-0.941684
-36.0,-0.936378
-35.0,-0.930221
-34.0,-0.923241
-33.0,-0.915469
-32.0,-0.906939
-31.0,-0.897691
-30.0,-0.887765
-29.0,-0.877208
-28.0,-0.866074
-27.0,-0.85442
-26.0,-0.842311
-25.0,-0.829821
-24.0,-0.817032
-23.0,-0.804037
-22.0,-0.790945
-21.0,-0.77788
-20.0,-0.764986
-19.0,-0.752432
-18.0,-0.740421
-17.0,-0.729197
-16.0,-0.719058
-15.0,-0.710373
-14.0,-0.703609
-13.0,-0.699369
-12.0,-0.698443
-11.0,-0.701899
-10.0,-0.71122
-9.5,-0.6069
-8.5,-0.7023
-8.0,-0.757
-7.5,-0.7427
-7.0,-0.7104
-6.5,-0.6711
-5.5,-0.5925
-5.0,-0.5471
-4.5,-0.5113
-4.0,-0.4841
-3.5,-0.4452
-3.0,-0.4025
-2.5,-0.343
-2.0,-0.2345
-1.5,-0.0912
-1.0,-0.0111
-0.5,-0.0001
0.0,0.0
0.5,0.0001
1.0,0.0112
1.5,0.0911
2.0,0.2344
2.5,0.3429
3.0,0.4024
3.5,0.4451
4.0,0.484
4.5,0.5111
5.0,0.547
5.5,0.5924
6.5,0.6711
7.0,0.7105
7.5,0.7428
8.5,0.7033
9.0,0.8053
9.5,0.6914
10.0,0.6853
12.0,0.6381
12.5,0.6479
13.0,0.6796
13.5,0.6697
14.5,0.6784
15.0,0.754752
16.0,0.760328
17.0,0.767705
18.0,0.776456
19.0,0.786237
20.0,0.796769
21.0,0.807821
22.0,0.819197
23.0,0.830734
24.0,0.842292
25.0,0.853748
26.0,0.864998
27.0,0.875948
28.0,0.886517
29.0,0.896633
30.0,0.906231
31.0,0.915253
32.0,0.923647
33.0,0.931367
34.0,0.938372
35.0,0.944623
36.0,0.950086
37.0,0.954732
38.0,0.958533
39.0,0.961464
