AoA,CD
-180.0,0.006
-179.0,0.006548
-178.0,0.008192
-177.0,0.01093
-176.0,0.014759
-175.0,0.019673
-174.0,0.025667
-173.0,0.032734
-172.0,0.040864
-171.0,0.050049
-170.0,0.060277
-169.0,0.071535
-168.0,0.083809
-167.0,0.097085
-166.0,0.111347
-165.0,0.126577
-164.0,0.142757
-163.0,0.159866
-162.0,0.177885
-161.0,0.19679
-160.0,0.21656
-159.0,0.23717
-158.0,0.258594
-157.0,0.280807
-156.0,0.303782
-155.0,0.327491
-154.0,0.351905
-153.0,0.376993
-152.0,0.402726
-151.0,0.429073
-150.0,0.456
-149.0,0.483476
-148.0,0.511466
-147.0,0.539937
-146.0,0.568854
-145.0,0.598182
-144.0,0.627885
-143.0,0.657926
-142.0,0.68827
-141.0,0.718879
-140.0,0.749717
-139.0,0.780744
-138.0,0.811924
-137.0,0.843219
-136.0,0.87459
-135.0,0.906
-134.0,0.93741
-133.0,0.968781
-132.0,1.000076
-131.0,1.031256
-130.0,1.062283
-129.0,1.09312
-128.0,1.12373
-127.0,1.154074
-126.0,1.184115
-125.0,1.213818
-124.0,1.243146
-123.0,1.272063
-122.0,1.300534
-121.0,1.328524
-120.0,1.356
-119.0,1.382927
-118.0,1.409274
-117.0,1.435007
-116.0,1.460095
-115.0,1.484509
-114.0,1.508217
-113.0,1.531193
-112.0,1.553406
-111.0,1.57483
-110.0,1.59544
-109.0,1.61521
-108.0,1.634115
-107.0,1.652134
-106.0,1.669243
-105.0,1.685423
-104.0,1.700653
-103.0,1.714915
-102.0,1.728191
-101.0,1.740465
-100.0,1.751723
-99.0,1.761951
-98.0,1.771135
-97.0,1.779266
-96.0,1.786333
-95.0,1.792327
-94.0,1.797241
-93.0,1.80107
-92.0,1.803808
-91.0,1.805452
-90.0,1.8
-89.0,1.800561
-88.0,1.800025
-87.0,1.798395
-86.0,1.795673
-85.0,1.791864
-84.0,1.786974
-83.0,1.781009
-82.0,1.773978
-81.0,1.76589
-80.0,1.756756
-79.0,1.746588
-78.0,1.735401
-77.0,1.723207
-76.0,1.710023
-75.0,1.695867
-74.0,1.680756
-73.0,1.66471
-72.0,1.647749
-71.0,1.629895
-70.0,1.61117
-69.0,1.591599
-68.0,1.571206
-67.0,1.550018
-66.0,1.528059
-65.0,1.50536
-64.0,1.481947
-63.0,1.457851
-62.0,1.433101
-61.0,1.40773
-60.0,1.381768
-59.0,1.355247
-58.0,1.328202
-57.0,1.300667
-56.0,1.272674
-55.0,1.24426
-54.0,1.21546
-53.0,1.18631
-52.0,1.156846
-51.0,1.127104
-50.0,1.097123
-49.0,1.066938
-48.0,1.036589
-47.0,1.006112
-46.0,0.975545
-45.0,0.944926
-44.0,0.914294
-43.0,0.883686
-42.0,0.85314
-41.0,0.822695
-40.0,0.792387
-39.0,0.762255
-38.0,0.732336
-37.0,0.702668
-36.0,0.673286
-35.0,0.644227
-34.0,0.615527
-33.0,0.587222
-32.0,0.559347
-31.0,0.531936
-30.0,0.505023
-29.0,0.478642
-28.0,0.452824
-27.0,0.427603
-26.0,0.403009
-25.0,0.379073
-24.0,0.355824
-23.0,0.333292
-22.0,0.311503
-21.0,0.290485
-20.0,0.270263
-19.0,0.250864
-18.0,0.23231
-17.0,0.214625
-16.0,0.19783
-15.0,0.181947
-14.0,0.166995
-13.0,0.152992
-12.0,0.139956
-11.0,0.127902
-10.0,0.11848
-9.5,0.11325
-8.0,0.08434
-7.5,0.07559
-6.5,0.0409
-6.0,0.03277
-5.5,0.02925
-5.0,0.02329
-4.5,0.01968
-4.0,0.01496
-3.5,0.01417
-3.0,0.01363
-2.5,0.01316
-2.0,0.013
-1.5,0.01306
-1.0,0.01299
-0.5,0.01311
0.0,0.01332
0.5,0.01348
1.0,0.0136
1.5,0.01375
2.0,0.01372
2.5,0.0138
3.0,0.01372
3.5,0.01385
4.0,0.01404
4.5,0.01436
5.0,0.01478
5.5,0.01534
6.0,0.0161
6.5,0.01703
7.0,0.01816
7.5,0.01947
8.0,0.02108
