AoA,CL
-180.0,0.0
-179.0,0.031505
-178.0,0.062971
-177.0,0.094361
-176.0,0.125635
-175.0,0.156757
-174.0,0.187687
-173.0,0.218389
-172.0,0.248825
-171.0,0.278958
-170.0,0.30875
-169.0,0.338167
-168.0,0.367172
-167.0,0.395729
-166.0,0.423804
-165.0,0.451363
-164.0,0.478372
-163.0,0.504798
-162.0,0.530609
-161.0,0.555774
-160.0,0.580261
-159.0,0.604042
-158.0,0.627086
-157.0,0.649367
-156.0,0.670856
-155.0,0.691528
-154.0,0.711358
-153.0,0.730321
-152.0,0.748394
-151.0,0.765555
-150.0,0.781784
-149.0,0.79706
-148.0,0.811365
-147.0,0.824681
-146.0,0.836993
-145.0,0.848285
-144.0,0.858543
-143.0,0.867756
-142.0,0.875911
-141.0,0.882999
-140.0,0.889011
-139.0,0.893941
-138.0,0.897781
-137.0,0.900527
-136.0,0.902176
-135.0,0.902726
-134.0,0.902176
-133.0,0.900527
-132.0,0.897781
-131.0,0.893941
-130.0,0.889011
-129.0,0.882999
-128.0,0.875911
-127.0,0.867756
-126.0,0.858543
-125.0,0.848285
-124.0,0.836993
-123.0,0.824681
-122.0,0.811365
-121.0,0.79706
-120.0,0.781784
-119.0,0.765555
-118.0,0.748394
-117.0,0.730321
-116.0,0.711358
-115.0,0.691528
-114.0,0.670856
-113.0,0.649367
-112.0,0.627086
-111.0,0.604042
-110.0,0.580261
-109.0,0.555774
-108.0,0.530609
-107.0,0.504798
-106.0,0.478372
-105.0,0.451363
-104.0,0.423804
-103.0,0.395729
-102.0,0.367172
-101.0,0.338167
-100.0,0.30875
-99.0,0.278958
-98.0,0.248825
-97.0,0.218389
-96.0,0.187687
-95.0,0.156757
-94.0,0.125635
-93.0,0.094361
-92.0,0.062971
-91.0,0.031505
-90.0,0.0
-89.0,-0.031423
-88.0,-0.062834
-87.0,-0.094195
-86.0,-0.125468
-85.0,-0.156616
-84.0,-0.187599
-83.0,-0.218382
-82.0,-0.248926
-81.0,-0.279195
-80.0,-0.309153
-79.0,-0.338763
-78.0,-0.367989
-77.0,-0.396798
-76.0,-0.425153
-75.0,-0.453023
-74.0,-0.480372
-73.0,-0.50717
-72.0,-0.533383
-71.0,-0.558981
-70.0,-0.583935
-69.0,-0.608213
-68.0,-0.631789
-67.0,-0.654635
-66.0,-0.676723
-65.0,-0.69803
-64.0,-0.718529
-63.0,-0.738198
-62.0,-0.757014
-61.0,-0.774956
-60.0,-0.792005
-59.0,-0.808141
-58.0,-0.823347
-57.0,-0.837607
-56.0,-0.850905
-55.0,-0.863229
-54.0,-0.874564
-53.0,-0.884902
-52.0,-0.894231
-51.0,-0.902545
-50.0,-0.909836
-49.0,-0.916099
-48.0,-0.92133
-47.0,-0.925527
-46.0,-0.92869
-45.0,-0.93082
-44.0,-0.931919
-43.0,-0.931991
-42.0,-0.931043
-41.0,-0.929083
-40.0,-0.926118
-39.0,-0.922162
-38.0,-0.917228
-37.0,-0.911329
-36.0,-0.904485
-35.0,-0.896714
-34.0,-0.888037
-33.0,-0.87848
-32.0,-0.868068
-31.0,-0.856831
-30.0,-0.844802
-29.0,-0.832016
-28.0,-0.818512
-27.0,-0.804334
-26.0,-0.78953
-25.0,-0.774153
-24.0,-0.758263
-23.0,-0.741926
-22.0,-0.725217
-21.0,-0.708222
-20.0,-0.691039
-19.0,-0.673782
-18.0,-0.656586
-17.0,-0.639608
-16.0,-0.623042
-15.0,-0.607123
-14.0,-0.592146
-13.0,-0.578488
-12.0,-0.566639
-11.0,-0.557258
-10.0,-0.546
-9.5,-0.5499
-8.0,-0.5356
-7.5,-0.5333
-6.5,-0.5264
-6.0,-0.5102
-5.5,-0.4984
-5.0,-0.4274
-4.5,-0.3435
-4.0,-0.2819
-3.5,-0.2216
-3.0,-0.1669
-2.5,-0.122
-2.0,-0.0595
-1.5,0.0503
-1.0,0.1347
-0.5,0.1712
0.0,0.2138
0.5,0.2534
1.0,0.3008
1.5,0.3438
2.0,0.393
2.5,0.4405
3.0,0.4892
3.5,0.5395
4.0,0.5896
4.5,0.6398
5.0,0.6901
5.5,0.7406
6.0,0.7902
6.5,0.8387
7.0,0.886
7.5,0.9317
8.0,0.9758
8.5,1.0172
9.0,1.0549
9.5,1.088
10.0,1.1137
10.5,1.1324
11.0,1.1457
11.5,1.1373
12.0,1.1252
12.5,1.1097
13.0,1.078
13.5,1.0333
14.0,0.8676
14.5,0.8358
15.0,0.8253
16.0,0.8242
16.5,0.8211
17.0,0.8495
17.5,0.8564
18.0,0.8558
18.5,0.8585
19.0,0.8733
20.0,0.8986
21.0,0.991611
22.0,0.99262
23.0,0.994613
24.0,0.99735
25.0,1.000624
26.0,1.004258
27.0,1.008097
28.0,1.012007
29.0,1.015872
30.0,1.019586
31.0,1.023058
