Name,X,Z
1,1.000000, 0.000945
2,0.998459, 0.001107
3,0.993844, 0.001590
4,0.986185, 0.002386
5,0.975528, 0.003482
6,0.961940, 0.004858
7,0.945503, 0.006493
8,0.926320, 0.008362
9,0.904508, 0.010436
10,0.880203, 0.012686
11,0.853553, 0.015080
12,0.824724, 0.017589
13,0.793893, 0.020179
14,0.761249, 0.022818
15,0.726995, 0.025472
16,0.691342, 0.028107
17,0.654508, 0.030688
18,0.616723, 0.033178
19,0.578217, 0.035537
20,0.539230, 0.037727
21,0.500000, 0.039705
22,0.460770, 0.041430
23,0.421783, 0.042861
24,0.383277, 0.043957
25,0.345492, 0.044681
26,0.308658, 0.045000
27,0.273005, 0.044886
28,0.238751, 0.044319
29,0.206107, 0.043286
30,0.175276, 0.041782
31,0.146447, 0.039812
32,0.119797, 0.037390
33,0.095492, 0.034537
34,0.073680, 0.031279
35,0.054497, 0.027650
36,0.038060, 0.023685
37,0.024472, 0.019420
38,0.013815, 0.014890
39,0.006156, 0.010128
40,0.001541, 0.005158
41,0.000000, 0.000000
42,0.001541, -0.005158
43,0.006156, -0.010128
44,0.013815, -0.014890
45,0.024472, -0.019420
46,0.038060, -0.023685
47,0.054497, -0.027650
48,0.073680, -0.031279
49,0.095492, -0.034537
50,0.119797, -0.037390
51,0.146447, -0.039812
52,0.175276, -0.041782
53,0.206107, -0.043286
54,0.238751, -0.044319
55,0.273005, -0.044886
56,0.308658, -0.045000
57,0.345492, -0.044681
58,0.383277, -0.043957
59,0.421783, -0.042861
60,0.460770, -0.041430
61,0.500000, -0.039705
62,0.539230, -0.037727
63,0.578217, -0.035537
64,0.616723, -0.033178
65,0.654508, -0.030688
66,0.691342, -0.028107
67,0.726995, -0.025472
68,0.761249, -0.022818
69,0.793893, -0.020179
70,0.824724, -0.017589
71,0.853553, -0.015080
72,0.880203, -0.012686
73,0.904508, -0.010436
74,0.926320, -0.008362
75,0.945503, -0.006493
76,0.961940, -0.004858
77,0.975528, -0.003482
78,0.986185, -0.002386
79,0.993844, -0.001590
80,0.998459, -0.001107
81,1.000000, -0.000945
