"AOA","CD"
"-180.000000","0.006000"
"-179.000000","0.006521"
"-178.000000","0.008084"
"-177.000000","0.010686"
"-176.000000","0.014323"
"-175.000000","0.018988"
"-174.000000","0.024677"
"-173.000000","0.031380"
"-172.000000","0.039089"
"-171.000000","0.047794"
"-170.000000","0.057482"
"-169.000000","0.068142"
"-168.000000","0.079760"
"-167.000000","0.092320"
"-166.000000","0.105807"
"-165.000000","0.120203"
"-164.000000","0.135490"
"-163.000000","0.151648"
"-162.000000","0.168658"
"-161.000000","0.186497"
"-160.000000","0.205144"
"-159.000000","0.224575"
"-158.000000","0.244766"
"-157.000000","0.265691"
"-156.000000","0.287325"
"-155.000000","0.309641"
"-154.000000","0.332610"
"-153.000000","0.356205"
"-152.000000","0.380397"
"-151.000000","0.405155"
"-150.000000","0.430449"
"-149.000000","0.456248"
"-148.000000","0.482520"
"-147.000000","0.509233"
"-146.000000","0.536355"
"-145.000000","0.563851"
"-144.000000","0.591688"
"-143.000000","0.619833"
"-142.000000","0.648251"
"-141.000000","0.676906"
"-140.000000","0.705765"
"-139.000000","0.734792"
"-138.000000","0.763952"
"-137.000000","0.793209"
"-136.000000","0.822528"
"-135.000000","0.851873"
"-134.000000","0.881209"
"-133.000000","0.910500"
"-132.000000","0.939710"
"-131.000000","0.968804"
"-130.000000","0.997747"
"-129.000000","1.026504"
"-128.000000","1.055041"
"-127.000000","1.083322"
"-126.000000","1.111314"
"-125.000000","1.138982"
"-124.000000","1.166294"
"-123.000000","1.193217"
"-122.000000","1.219718"
"-121.000000","1.245765"
"-120.000000","1.271327"
"-119.000000","1.296373"
"-118.000000","1.320873"
"-117.000000","1.344798"
"-116.000000","1.368119"
"-115.000000","1.390808"
"-114.000000","1.412837"
"-113.000000","1.434181"
"-112.000000","1.454813"
"-111.000000","1.474709"
"-110.000000","1.493846"
"-109.000000","1.512199"
"-108.000000","1.529748"
"-107.000000","1.546471"
"-106.000000","1.562348"
"-105.000000","1.577360"
"-104.000000","1.591489"
"-103.000000","1.604718"
"-102.000000","1.617032"
"-101.000000","1.628416"
"-100.000000","1.638855"
"-99.000000","1.648339"
"-98.000000","1.656854"
"-97.000000","1.664392"
"-96.000000","1.670943"
"-95.000000","1.676499"
"-94.000000","1.681053"
"-93.000000","1.684601"
"-92.000000","1.687138"
"-91.000000","1.688660"
"-90.000000","1.689167"
"-89.000000","1.688657"
"-88.000000","1.687131"
"-87.000000","1.684591"
"-86.000000","1.681040"
"-85.000000","1.676482"
"-84.000000","1.670923"
"-83.000000","1.664369"
"-82.000000","1.656828"
"-81.000000","1.648309"
"-80.000000","1.638822"
"-79.000000","1.628379"
"-78.000000","1.616991"
"-77.000000","1.604673"
"-76.000000","1.591440"
"-75.000000","1.577307"
"-74.000000","1.562290"
"-73.000000","1.546409"
"-72.000000","1.529682"
"-71.000000","1.512128"
"-70.000000","1.493770"
"-69.000000","1.474628"
"-68.000000","1.454726"
"-67.000000","1.434088"
"-66.000000","1.412738"
"-65.000000","1.390702"
"-64.000000","1.368007"
"-63.000000","1.344679"
"-62.000000","1.320746"
"-61.000000","1.296238"
"-60.000000","1.271183"
"-59.000000","1.245612"
"-58.000000","1.219555"
"-57.000000","1.193044"
"-56.000000","1.166111"
"-55.000000","1.138787"
"-54.000000","1.111105"
"-53.000000","1.083100"
"-52.000000","1.054804"
"-51.000000","1.026252"
"-50.000000","0.997477"
"-49.000000","0.968515"
"-48.000000","0.939401"
"-47.000000","0.910169"
"-46.000000","0.880854"
"-45.000000","0.851492"
"-44.000000","0.822118"
"-43.000000","0.792767"
"-42.000000","0.763475"
"-41.000000","0.734276"
"-40.000000","0.705206"
"-39.000000","0.676299"
"-38.000000","0.647590"
"-37.000000","0.619112"
"-36.000000","0.590899"
"-35.000000","0.562985"
"-34.000000","0.535401"
"-33.000000","0.508180"
"-32.000000","0.481352"
"-31.000000","0.454946"
"-30.000000","0.428992"
"-29.000000","0.403516"
"-28.000000","0.378542"
"-27.000000","0.354094"
"-26.000000","0.330190"
"-25.000000","0.306845"
"-24.000000","0.284067"
"-23.000000","0.261857"
"-22.000000","0.240205"
"-21.000000","0.219083"
"-20.000000","0.198440"
"-19.000000","0.119910"
"-18.900000","0.115040"
"-18.799999","0.105960"
"-18.700001","0.102070"
"-18.500000","0.094790"
"-18.400000","0.087200"
"-18.299999","0.082670"
"-18.100000","0.071540"
"-18.000000","0.065600"
"-17.900000","0.061930"
"-17.799999","0.057930"
"-17.700001","0.052400"
"-17.400000","0.041860"
"-17.299999","0.038420"
"-17.200001","0.036070"
"-17.100000","0.033580"
"-17.000000","0.031840"
"-16.900000","0.030050"
"-16.799999","0.028810"
"-16.700001","0.027700"
"-16.600000","0.026690"
"-16.400000","0.025020"
"-16.299999","0.024320"
"-16.200001","0.023670"
"-16.100000","0.023080"
"-16.000000","0.022480"
"-15.900000","0.021920"
"-15.800000","0.021390"
"-15.700000","0.020890"
"-15.600000","0.020420"
"-15.500000","0.019960"
"-15.400000","0.019530"
"-15.300000","0.019110"
"-15.200000","0.018720"
"-15.100000","0.018360"
"-15.000000","0.018040"
"-14.900000","0.017700"
"-14.800000","0.017120"
"-14.700000","0.016850"
"-14.600000","0.016580"
"-14.500000","0.016320"
"-14.400000","0.016070"
"-14.300000","0.015820"
"-14.200000","0.015580"
"-14.100000","0.015350"
"-14.000000","0.015120"
"-13.900000","0.014900"
"-13.800000","0.014680"
"-13.700000","0.014470"
"-13.600000","0.014260"
"-13.500000","0.014060"
"-13.400000","0.013870"
"-13.100000","0.013310"
"-13.000000","0.013140"
"-12.900000","0.012970"
"-12.800000","0.012800"
"-12.600000","0.012480"
"-12.500000","0.012320"
"-12.400000","0.012160"
"-12.300000","0.012010"
"-12.200000","0.011870"
"-12.100000","0.011720"
"-11.900000","0.011440"
"-11.800000","0.011310"
"-11.700000","0.011170"
"-11.600000","0.011040"
"-11.500000","0.010910"
"-11.400000","0.010790"
"-11.300000","0.010660"
"-11.200000","0.010540"
"-11.100000","0.010420"
"-11.000000","0.010300"
"-10.900000","0.010190"
"-10.800000","0.010080"
"-10.700000","0.009960"
"-10.600000","0.009860"
"-10.500000","0.009750"
"-10.400000","0.009730"
"-10.300000","0.009620"
"-10.200000","0.009520"
"-10.100000","0.009410"
"-10.000000","0.009310"
"-9.900000","0.009210"
"-9.800000","0.009120"
"-9.700000","0.009030"
"-9.600000","0.008940"
"-9.500000","0.008850"
"-9.400000","0.008760"
"-9.300000","0.008670"
"-9.200000","0.008580"
"-9.100000","0.008490"
"-9.000000","0.008410"
"-8.900000","0.008320"
"-8.800000","0.008230"
"-8.700000","0.008150"
"-8.600000","0.008060"
"-8.500000","0.007970"
"-8.400000","0.007870"
"-8.300000","0.007510"
"-8.200000","0.007470"
"-8.100000","0.007420"
"-8.000000","0.007380"
"-7.800000","0.007290"
"-7.700000","0.007240"
"-7.600000","0.007200"
"-7.500000","0.007160"
"-7.400000","0.007120"
"-7.300000","0.007090"
"-7.200000","0.007050"
"-7.100000","0.007020"
"-7.000000","0.007000"
"-6.900000","0.006980"
"-6.700000","0.006970"
"-6.600000","0.009230"
"-6.500000","0.008840"
"-6.400000","0.008490"
"-6.300000","0.008180"
"-6.200000","0.007920"
"-6.100000","0.007820"
"-6.000000","0.007770"
"-5.900000","0.007650"
"-4.100000","0.007240"
"-4.000000","0.007200"
"-3.900000","0.007160"
"-3.800000","0.007120"
"-3.600000","0.008180"
"-3.500000","0.008170"
"-3.400000","0.008180"
"-3.300000","0.008190"
"-3.100000","0.008190"
"-2.800000","0.008160"
"-2.500000","0.008200"
"-2.400000","0.008200"
"-2.300000","0.008190"
"-2.200000","0.008190"
"-2.100000","0.008190"
"-1.400000","0.008200"
"-1.300000","0.008200"
"-1.200000","0.008200"
"-1.100000","0.008210"
"-1.000000","0.008210"
"-0.900000","0.008220"
"-0.800000","0.008220"
"-0.700000","0.008230"
"-0.600000","0.008240"
"-0.500000","0.008240"
"-0.400000","0.008250"
"-0.300000","0.008260"
"-0.200000","0.008260"
"-0.100000","0.008270"
"0.000000","0.008280"
"0.100000","0.008290"
"0.200000","0.008300"
"0.300000","0.008310"
"0.400000","0.008320"
"0.500000","0.008320"
"0.600000","0.008330"
"0.700000","0.008340"
"0.800000","0.008360"
"0.900000","0.008370"
"1.000000","0.008380"
"1.100000","0.008390"
"1.200000","0.008400"
"1.300000","0.008420"
"1.400000","0.008430"
"1.500000","0.008440"
"1.600000","0.008460"
"1.700000","0.008470"
"1.800000","0.008490"
"1.900000","0.008500"
"2.000000","0.008520"
"2.100000","0.008540"
"2.200000","0.008550"
"2.300000","0.008570"
"2.400000","0.008590"
"2.500000","0.008610"
"2.600000","0.008630"
"2.700000","0.008650"
"2.800000","0.008620"
"2.900000","0.008650"
"3.000000","0.008670"
"3.100000","0.008690"
"3.200000","0.008720"
"3.300000","0.008740"
"3.400000","0.008740"
"3.500000","0.008750"
"3.600000","0.008760"
"3.800000","0.008610"
"3.900000","0.008590"
"4.000000","0.008570"
"4.100000","0.008520"
"4.200000","0.008480"
"4.300000","0.008510"
"4.400000","0.008530"
"4.500000","0.008530"
"4.600000","0.008510"
"4.700000","0.008470"
"4.800000","0.008500"
"4.900000","0.008370"
"5.000000","0.008380"
"5.100000","0.008320"
"5.200000","0.008270"
"5.300000","0.008300"
"5.400000","0.008300"
"5.500000","0.008210"
"5.600000","0.008160"
"5.700000","0.008000"
"5.800000","0.007910"
"5.900000","0.007870"
"6.000000","0.007930"
"6.100000","0.007990"
"6.200000","0.008050"
"6.300000","0.008110"
"6.400000","0.008170"
"6.500000","0.008240"
"6.600000","0.008300"
"6.700000","0.008360"
"6.800000","0.008420"
"6.900000","0.008490"
"7.000000","0.008550"
"7.100000","0.008600"
"7.200000","0.008660"
"7.300000","0.008720"
"7.400000","0.008780"
"7.500000","0.008840"
"7.600000","0.008900"
"7.700000","0.008960"
