"AOA","CM"
"-180.000000","-0.023682"
"-179.000000","0.010345"
"-178.000000","0.044141"
"-177.000000","0.077696"
"-176.000000","0.110998"
"-175.000000","0.144037"
"-174.000000","0.176804"
"-173.000000","0.209039"
"-172.000000","0.237415"
"-171.000000","0.252832"
"-170.000000","0.247045"
"-169.000000","0.225075"
"-168.000000","0.201099"
"-167.000000","0.183877"
"-166.000000","0.174521"
"-165.000000","0.171170"
"-164.000000","0.171805"
"-163.000000","0.174958"
"-162.000000","0.179672"
"-161.000000","0.185345"
"-160.000000","0.191597"
"-159.000000","0.198187"
"-158.000000","0.204959"
"-157.000000","0.211811"
"-156.000000","0.218675"
"-155.000000","0.225506"
"-154.000000","0.232274"
"-153.000000","0.238960"
"-152.000000","0.245552"
"-151.000000","0.252041"
"-150.000000","0.258423"
"-149.000000","0.264697"
"-148.000000","0.270864"
"-147.000000","0.276924"
"-146.000000","0.282879"
"-145.000000","0.288733"
"-144.000000","0.294489"
"-143.000000","0.300150"
"-142.000000","0.305719"
"-141.000000","0.311200"
"-140.000000","0.316595"
"-139.000000","0.321909"
"-138.000000","0.327143"
"-137.000000","0.332299"
"-136.000000","0.337381"
"-135.000000","0.342389"
"-134.000000","0.347324"
"-133.000000","0.352188"
"-132.000000","0.356980"
"-131.000000","0.361700"
"-130.000000","0.366349"
"-129.000000","0.370923"
"-128.000000","0.375423"
"-127.000000","0.379845"
"-126.000000","0.384189"
"-125.000000","0.388449"
"-124.000000","0.392624"
"-123.000000","0.396710"
"-122.000000","0.400703"
"-121.000000","0.404598"
"-120.000000","0.408390"
"-119.000000","0.412075"
"-118.000000","0.415648"
"-117.000000","0.419103"
"-116.000000","0.422435"
"-115.000000","0.425638"
"-114.000000","0.428705"
"-113.000000","0.431632"
"-112.000000","0.434412"
"-111.000000","0.437039"
"-110.000000","0.439508"
"-109.000000","0.441812"
"-108.000000","0.443946"
"-107.000000","0.445903"
"-106.000000","0.447680"
"-105.000000","0.449269"
"-104.000000","0.450646"
"-103.000000","0.451849"
"-102.000000","0.452852"
"-101.000000","0.453649"
"-100.000000","0.454238"
"-99.000000","0.454614"
"-98.000000","0.454775"
"-97.000000","0.454718"
"-96.000000","0.454441"
"-95.000000","0.453941"
"-94.000000","0.453218"
"-93.000000","0.452271"
"-92.000000","0.451099"
"-91.000000","0.449702"
"-90.000000","0.448081"
"-89.000000","0.446237"
"-88.000000","0.444171"
"-87.000000","0.441885"
"-86.000000","0.439381"
"-85.000000","0.436663"
"-84.000000","0.433733"
"-83.000000","0.430595"
"-82.000000","0.427254"
"-81.000000","0.423713"
"-80.000000","0.419978"
"-79.000000","0.416054"
"-78.000000","0.411946"
"-77.000000","0.407661"
"-76.000000","0.403205"
"-75.000000","0.398583"
"-74.000000","0.393804"
"-73.000000","0.388873"
"-72.000000","0.383798"
"-71.000000","0.378586"
"-70.000000","0.373246"
"-69.000000","0.367783"
"-68.000000","0.362207"
"-67.000000","0.356524"
"-66.000000","0.350743"
"-65.000000","0.344872"
"-64.000000","0.338918"
"-63.000000","0.332889"
"-62.000000","0.326792"
"-61.000000","0.320636"
"-60.000000","0.314429"
"-59.000000","0.308176"
"-58.000000","0.301886"
"-57.000000","0.295565"
"-56.000000","0.289222"
"-55.000000","0.282861"
"-54.000000","0.276490"
"-53.000000","0.270115"
"-52.000000","0.263743"
"-51.000000","0.257378"
"-50.000000","0.251026"
"-49.000000","0.244693"
"-48.000000","0.238383"
"-47.000000","0.232101"
"-46.000000","0.225852"
"-45.000000","0.219640"
"-44.000000","0.213468"
"-43.000000","0.207341"
"-42.000000","0.201262"
"-41.000000","0.195233"
"-40.000000","0.189259"
"-39.000000","0.183341"
"-38.000000","0.177483"
"-37.000000","0.171687"
"-36.000000","0.165956"
"-35.000000","0.160293"
"-34.000000","0.154700"
"-33.000000","0.143873"
"-32.000000","0.133046"
"-31.000000","0.122220"
"-30.000000","0.111393"
"-29.000000","0.100566"
"-28.000000","0.089740"
"-27.000000","0.078913"
"-26.000000","0.068086"
"-25.000000","0.057260"
"-24.000000","0.046433"
"-23.000000","0.035607"
"-22.000000","0.024780"
"-21.000000","0.013953"
"-20.000000","0.003127"
"-19.000000","-0.007700"
"-18.900000","-0.010400"
"-18.799999","-0.015400"
"-18.700001","-0.017500"
"-18.500000","-0.021200"
"-18.400000","-0.025500"
"-18.299999","-0.028000"
"-18.100000","-0.034600"
"-18.000000","-0.038400"
"-17.900000","-0.040500"
"-17.799999","-0.042900"
"-17.700001","-0.047100"
"-17.400000","-0.054400"
