Name,X,Z
1,1.0000,0.0013
2,0.9500,0.0114
3,0.9000,0.0208
4,0.8000,0.0375
5,0.7000,0.0518
6,0.6000,0.0636
7,0.5000,0.0724
8,0.4000,0.0780
9,0.3000,0.0788
10,0.2500,0.0767
11,0.2000,0.0726
12,0.1500,0.0661
13,0.1000,0.0563
14,0.0750,0.0496
15,0.0500,0.0413
16,0.0250,0.0299
17,0.0125,0.0215
18,0.0000,0.0000
19,0.0125,-0.0165
20,0.0250,-0.0227
21,0.0500,-0.0301
22,0.0750,-0.0346
23,0.1000,-0.0375
24,0.1500,-0.0410
25,0.2000,-0.0423
26,0.2500,-0.0422
27,0.3000,-0.0412
28,0.4000,-0.0380
29,0.5000,-0.0334
30,0.6000,-0.0276
31,0.7000,-0.0214
32,0.8000,-0.0150
33,0.9000,-0.0082
34,0.9500,-0.0048
35,1.0000,-0.0013
