  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0009 Airfoil M=0.0% P=0.0% T=9.0%          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   1.1535   0.04296   0.03498  -0.1559   0.0502   0.6335
   0.500   1.1955   0.04352   0.03549  -0.1525   0.0399   0.6418
   1.000   1.2395   0.04417   0.03618  -0.1496   0.0335   0.6505
   2.000   1.3518   0.04567   0.03788  -0.1460   0.0258   0.6667
   2.500   1.4209   0.04746   0.04013  -0.1458   0.0239   0.6752
   3.000   1.4751   0.04990   0.04284  -0.1445   0.0220   0.6832
   3.500   1.5408   0.05756   0.05124  -0.1444   0.0209   0.6911
   4.000   1.5507   0.06440   0.05880  -0.1374   0.0211   0.6967
   0.000   1.1535   0.04296   0.03498  -0.1559   0.0502   0.6335
  -1.000   1.0729   0.04229   0.03490  -0.1630   0.1370   0.6179
